lat,lon,altitude,speed,distance_to_restricted,label
28.614361626371206,77.20954830611736,90,23.15849157319398,74.1148733714362,Normal
28.614513673541502,77.20967187537649,117,19.101706038139064,94.56941992680825,Normal
28.61433419598758,77.20924059827743,101,17.96633119747743,53.56646574988218,Normal
28.614136825367584,77.20922333644283,97,10.232465822252806,34.14659449989404,Normal
28.614401839288924,77.20874417240202,66,6.528966704254085,60.986909859746426,Normal
28.61410846664832,77.20858930200768,71,11.200852934766335,46.336719714061815,Normal
28.61376008105469,77.20885536650525,101,15.796978215082984,20.989331050109584,Normal
28.613830453186576,77.2089697230331,83,8.256331907930974,8.257028428983109,Normal
28.61390007007134,77.2092373642098,66,9.202948278773853,23.213934749033054,Normal
28.614359605899114,77.20906063022333,105,23.056628495086912,51.28181848052955,Normal
28.613969294325056,77.2093529249527,61,19.67144983467456,35.35969960613202,Normal
28.613618672730833,77.20887737376565,99,10.239100337643222,33.40623137646137,Normal
28.61410087518874,77.2089573428409,116,15.365808350248596,22.650384599047193,Normal
28.613719372317824,77.2086186024131,69,7.432080646923835,42.33277571966693,Normal
28.614023913280217,77.20814070291085,96,7.332070798689411,85.1528964373552,Normal
28.61370834194793,77.20859741030736,88,19.40923345403798,44.73716694817688,Normal
28.613713769140762,77.20892016927955,107,12.334593564697077,22.067137032118648,Normal
28.613552119493924,77.20897604808962,117,7.1557223349103545,38.62648835180081,Normal
28.614023497901258,77.20929299686954,79,22.837421528906688,31.755828843017245,Normal
28.614354990889026,77.20934897205079,119,15.934626763802752,60.89011754836252,Normal
28.61399087662016,77.2089043059884,54,10.725411574857073,13.748727770893149,Normal
28.61407731106013,77.20917272767119,93,10.358982023729737,25.913913982069708,Normal
28.6136602107661,77.20923077095371,91,10.066427525457902,34.86594749831434,Normal
28.61356516162773,77.20927909079575,107,14.61555202552854,46.066833863908165,Normal
28.613862905978262,77.20951055390861,97,14.690987676544548,50.10052326108426,Normal
28.614330473773247,77.20915254431571,120,16.639631758676472,49.987290776747145,Normal
28.614318001267613,77.20940977037702,59,22.059091271290235,61.25503478343071,Normal
28.614669173410956,77.20924412675588,92,11.243624069167675,88.52731377133003,Normal
28.614181661152013,77.20902552119011,119,22.520211210300566,31.31596703537135,Normal
28.61398247131073,77.20904570856857,119,9.444356412839255,10.174830918573788,Normal
28.613718265932313,77.20844859300963,106,17.51640645484486,57.565605964242444,Suspicious
28.613207257806184,77.20778073578559,75,15.954378436556658,141.82196789933545,Suspicious
28.614233762539172,77.20764745779191,69,9.780360816319627,137.3515969894995,Suspicious
